year,month,tavg
1976,1,6.02258064516129
1976,2,3.651724137931035
1976,3,6.132258064516129
1976,4,11.67
1976,5,15.603225806451613
1976,6,19.813333333333333
1976,7,22.906451612903226
1976,8,20.761290322580646
1976,9,19.10666666666667
1976,10,16.25483870967742
1976,11,12.67
1976,12,8.187096774193549
1977,1,6.32258064516129
1977,2,9.664285714285715
1977,3,8.006451612903225
1977,4,11.833333333333334
1977,5,16.2
1977,6,21.023333333333333
1977,7,23.55483870967742
1977,8,23.929032258064513
1977,9,19.336666666666666
1977,10,13.341935483870968
1977,11,13.406666666666666
1977,12,6.738709677419355
1978,1,5.509677419354839
1978,2,7.596428571428571
1978,3,8.935483870967742
1978,4,11.946666666666665
1978,5,16.758064516129032
1978,6,21.029999999999998
1978,7,22.970967741935485
1978,8,21.725806451612904
1978,9,19.376666666666665
1978,10,15.929032258064517
1978,11,10.693333333333333
1978,12,8.758064516129032
1979,1,6.354838709677419
1979,2,7.439285714285715
1979,3,9.899999999999999
1979,4,11.976666666666667
1979,5,16.693548387096776
1979,6,22.17666666666667
1979,7,22.774193548387096
1979,8,23.296774193548387
1979,9,19.876666666666665
1979,10,15.47741935483871
1979,11,11.796666666666665
1979,12,8.993548387096775
1980,1,4.341935483870968
1980,2,4.944827586206896
1980,3,7.016129032258065
1980,4,11.016666666666667
1980,5,16.3
1980,6,20.773333333333333
1980,7,23.490322580645163
1980,8,23.029032258064515
1980,9,18.94
1980,10,17.309677419354838
1980,11,13.05
1980,12,8.583870967741936
1981,1,6.070967741935483
1981,2,5.710714285714286
1981,3,8.77741935483871
1981,4,11.313333333333333
1981,5,14.803225806451612
1981,6,21.790000000000003
1981,7,22.40967741935484
1981,8,22.706451612903226
1981,9,19.90666666666667
1981,10,17.82903225806452
1981,11,9.879999999999999
1981,12,10.503225806451614
1982,1,5.958064516129032
1982,2,4.064285714285714
1982,3,6.858064516129032
1982,4,10.74
1982,5,15.358064516129033
1982,6,21.07
1982,7,21.677419354838708
1982,8,22.58709677419355
1982,9,21.863333333333333
1982,10,16.729032258064517
1982,11,11.506666666666666
1982,12,9.593548387096773
1983,1,5.648387096774194
1983,2,5.164285714285714
1983,3,8.041935483870969
1983,4,13.04
1983,5,17.703225806451613
1983,6,20.15666666666667
1983,7,23.11935483870968
1983,8,21.896774193548385
1983,9,19.873333333333335
1983,10,14.96774193548387
1983,11,10.413333333333332
1983,12,8.69032258064516
1984,1,7.538709677419354
1984,2,6.455172413793103
1984,3,7.396774193548388
1984,4,9.953333333333335
1984,5,17.51290322580645
1984,6,20.43
1984,7,22.14516129032258
1984,8,21.59032258064516
1984,9,21.85666666666667
1984,10,17.76451612903226
1984,11,12.203333333333335
1984,12,7.625806451612903
1985,1,6.970967741935484
1985,2,2.075
1985,3,6.109677419354839
1985,4,12.196666666666665
1985,5,17.861290322580647
1985,6,21.016666666666666
1985,7,22.20967741935484
1985,8,23.55806451612903
1985,9,19.62
1985,10,14.296774193548387
1985,11,12.403333333333334
1985,12,9.01290322580645
1986,1,8.083870967741936
1986,2,6.667857142857143
1986,3,7.225806451612903
1986,4,13.566666666666666
